Title,Author
10 Năm Tình Cũ,Trần Quảng Nam
10 Năm Yêu Em,Trầm Tử Thiêng
16 Trăng Tròn,Trần Thiện Thanh
1954-1975,Phạm Duy
20 40,Y Vân
20 Năm Tình Cũ,Trần Quảng Nam
60 Cuộc Đời,Y Vân
7 Ngày Đợi Mong,Trần Thiện Thanh
Ai Cho Tôi Tình Yêu,Trúc Phương
Ai Khổ Vì Ai,
Ai Lên Xứ Hoa Đào,
Ai Nói Yêu Em Đêm Nay,
Always on My mind,
Anh Cho Em Mùa Xuân,
Anh Mơ Về Em,Vũ Tuấn Đức
Anh Đã Quên Mùa Thu,"Tùng Giang, Nam Lộc"
Ánh Đèn Màu,"Limelight, Lời Việt"
Anh Không Chết Đâu Em,Trần Thiện Thanh
Anh Phải Làm Sao,Minh Khang
Anh Sẽ Đến,
Anh Về Kẻo Trời Mưa,
Anh Về Với Em,Trần Thiện Thanh
Áo Lụa Vàng,Phạm Thế Mỹ
Bánh Xe Lãng Tử ̉,Trọng Khương
Ảo Ảnh,Y Vân
Áo Anh Sứt Chỉ Đường Tà,Phạm Duy
Bài Ca Hạnh Ngộ,Lê Uyên Phương
Bài Ca Tuổi Trẻ,Lê Hựu Hà
Bài Cho Em,Từ Công Phụng
Bài Cuối Cho Người Tình,Nguyễn Vũ
Bài Không Tên Cuối Cùng,
Bài Không Tên Số 1 9,
Bài Tango Buồn,Nguyễn Vũ
Bài Tango Cô Đơn,
Bài Tango Xa Rồi,
Bài Thánh Ca Buồn,
Bài Tình Ca Cho Em,Ngô Thụy Miên
Bài Tình Ca Mùa Đông,Trầm Tử Thiêng
Bản Tình Cuối,Ngô Thuỵ Miên
Bạn Tôi,
Bao Giờ Biết Tương Tư,Phạm Duy
Bao Giờ Ta Gặp Lại Ta,Trịnh Lâm Ngân
Bão Tình,Hoàng Trọng
Bay Đi Cánh Chim Biển,Đức Huy
Bảy Ngày Đợi Mong,Trần Thiện Thanh
Bâng Khuâng Chiều Nội Trú,Nguyễn Trung Cang
Bây Giờ Tháng Mấy,Từ Công Phụng
Beautiful Maria of My Soul,
Bến Duyên Lành,Phạm Thế Mỹ
Bến Xuân,Văn Cao
Bến Xuân Xanh,Dương Thiệu Tước
Bé Yêu,Lam Phương
Bên Cầu Biên Giới,Phạm Duy
Bên Đời Hiu Quạnh,Trịnh Công Sơn
Bên Em Là Biển Rộng,
Bên Nhau Đêm Này--dancing All Night,
Bên Nhau Ngày Vui,Quốc Dũng
Biển Cạn,Nguyễn Kim Tuấn
Biển Mặn,Trần Thiện Thanh
Biển Mộng,Quốc Dũng
Biển Nhớ,Trịnh Công Sơn
Biển Tình,Lam Phương
Biển Vắng,Tùng Giang
Biết Đâu Nguồn Cội,Trịnh Công Sơn
Biết Đến Thuở Nào,Tùng Giang
Biệt Kinh Kỳ,
Biết Nói Gì Đây,Huỳnh Anh
Bóng Biển,
Bóng Chiều Tà,Nhật Bằng
Bóng Chiều Xưa,Dương Thiệu Tước & Minh Trang
Bóng Người Cùng Thôn,Y Vân
Bóng Người Đi,Văn Phụng
Bóng Nhỏ Đường Chiều,Trúc Phương
Bóng Nhỏ Giáo Đường,
Bóng Trăng Xưa,Hoàng Trọng
Bơ Vơ,Hoàng Trọng
Bức Tâm Thư,Lam Phương
Buồn,Y Vân
Buồn Tàn Thu,Văn Cao
Buồn Trong Kỷ Niệm,Trúc Phương
Bóng Mát,Phạm Thế Mỹ
Bông Hồng Cài Áo,Phạm Thế Mỹ
Bước Tình Hồng,Nguyễn Trung Cang
Bướm Trắng,Anh Bằng & Nguyễn Bính
Chờ,Lam Phương
Các Anh Đi,Văn Phụng
Cảm Ơn,Trịnh Lâm Ngân
Cánh Bướm Vườn Xuân,
Cánh Hoa Thời Loạn,Y Vân
Cành Hoa Trắng,Phạm Duy
Chiều Nhớ,Vũ Tuấn Đức
Cánh Hoa Xưa,Hoàng Trọng
Cánh Hoa Yêu,Hoàng Trọng
Cánh Hồng Phai,Dương Khắc Linh
Cánh Thiệp Đầu Xuân,
Can't Help Falling in Love,
Cà Phê Đắng,Nguyễn Đông
Cát Bụi,Trịnh Công Sơn
Cát Bụi Cuộc Đời,
Căn Nhà Ngoại Ô,Anh Bằng
Câu Chuyện Đầu Năm,
Chân Quê,"Trung Đức, Nguyến Bính"
Chân Tình,
Chìa Khoá Tình Yêu,
Chỉ Chừng Đó Thôi,Phạm Duy
Chỉ Có Em,Lam Phương
Chiếc Lá Cuối Cùng,
Chiếc Lá Thu Phai,Trịnh Công Sơn
Chiều,Dương Thiệu Tước & Hồ Dzếnh
Chiều Cuối Tuần,Trúc Phương
Chiều Hành Quân,Lam Phương
Chiều Lên Bản Thượng,
